object_id,shape,admin0_name_en,admin0_name_th,admin0_pcode,admin1_name_en,admin1_name_th,admin1_pcode,admin2_name_en,admin2_name_th,admin2_pcode,admin3_name_en,admin3_name_th,admin3_pcode,shape_length,shape_area
578,Polygon,Thailand,ประเทศไทย,TH,Bangkok,กรุงเทพมหานคร,TH10,Bang Kho Laem,บางคอแหลม,TH1031,Bang Khlo,บางโคล่,TH103103,0.087512,0.000396
579,Polygon,Thailand,ประเทศไทย,TH,Bangkok,กรุงเทพมหานคร,TH10,Chom Thong,จอมทอง,TH1035,Bang Kho,บางค้อ,TH103502,0.088009,0.000274
580,Polygon,Thailand,ประเทศไทย,TH,Bangkok,กรุงเทพมหานคร,TH10,Bang Kho Laem,บางคอแหลม,TH1031,Bang Kho Laem,บางคอแหลม,TH103101,0.068493,0.000189
581,Polygon,Thailand,ประเทศไทย,TH,Samut Songkhram,สมุทรสงคราม,TH75,Bang Khonthi,บางคนที,TH7502,Bang Khonthi,บางคนที,TH750205,0.121414,0.000431
582,Polygon,Thailand,ประเทศไทย,TH,Phetchaburi,เพชรบุรี,TH76,Ban Laem,บ้านแหลม,TH7607,Bang Khrok,บางครก,TH760708,0.311906,0.002793
583,Polygon,Thailand,ประเทศไทย,TH,Samut Prakan,สมุทรปราการ,TH11,Phra Pradaeng,พระประแดง,TH1104,Bang Khru,บางครุ,TH110404,0.115321,0.000602
584,Polygon,Thailand,ประเทศไทย,TH,Lop Buri,ลพบุรี,TH16,Tha Wung,ท่าวุ้ง,TH1605,Bang Khu,บางคู้,TH160502,0.209906,0.001611
585,Polygon,Thailand,ประเทศไทย,TH,Nonthaburi,นนทบุรี,TH12,Bang Bua Thong,บางบัวทอง,TH1204,Bang Khu Rat,บางคูรัด,TH120404,0.160427,0.001426
586,Polygon,Thailand,ประเทศไทย,TH,Pathum Thani,ปทุมธานี,TH13,Mueang Pathum Thani,เมืองปทุมธานี,TH1301,Bang Khu Wat,บางคูวัด,TH130107,0.214269,0.00183
587,Polygon,Thailand,ประเทศไทย,TH,Nonthaburi,นนทบุรี,TH12,Bang Kruai,บางกรวย,TH1202,Bang Khu Wiang,บางคูเวียง,TH120206,0.094352,0.000437
588,Polygon,Thailand,ประเทศไทย,TH,Nonthaburi,นนทบุรี,TH12,Bang Kruai,บางกรวย,TH1202,Bang Khun Kong,บางขุนกอง,TH120205,0.106947,0.000527
