object_id,shape,admin0_name_en,admin0_name_th,admin0_pcode,admin1_name_en,admin1_name_th,admin1_pcode,admin2_name_en,admin2_name_th,admin2_pcode,admin3_name_en,admin3_name_th,admin3_pcode,shape_length,shape_area
700,Polygon,Thailand,ประเทศไทย,TH,Nakhon Sawan,นครสวรรค์,TH60,Mueang Nakhon Sawan,เมืองนครสวรรค์,TH6001,Bang Phra Luang,บางพระหลวง,TH600108,0.214826,0.001731
701,Polygon,Thailand,ประเทศไทย,TH,Ranong,ระนอง,TH85,La-Un,ละอุ่น,TH8502,Bang Phra Nuea,บางพระเหนือ,TH850204,0.546236,0.011331
702,Polygon,Thailand,ประเทศไทย,TH,Ranong,ระนอง,TH85,La-Un,ละอุ่น,TH8502,Bang Phra Tai,บางพระใต้,TH850203,0.246052,0.001863
703,Polygon,Thailand,ประเทศไทย,TH,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Nakhon Luang,นครหลวง,TH1403,Bang Phrakhru,บางพระครู,TH140307,0.131234,0.000775
704,Polygon,Thailand,ประเทศไทย,TH,Samut Prakan,สมุทรปราการ,TH11,Bang Bo,บางบ่อ,TH1102,Bang Phriang,บางเพรียง,TH110204,0.299108,0.002793
705,Polygon,Thailand,ประเทศไทย,TH,Bangkok,กรุงเทพมหานคร,TH10,Taling Chan,ตลิ่งชัน,TH1019,Bang Phrom,บางพรม,TH101904,0.12904,0.000427
706,Polygon,Thailand,ประเทศไทย,TH,Samut Songkhram,สมุทรสงคราม,TH75,Bang Khonthi,บางคนที,TH7502,Bang Phrom,บางพรม,TH750207,0.074397,0.000243
707,Polygon,Thailand,ประเทศไทย,TH,Chachoengsao,ฉะเชิงเทรา,TH24,Bang Pakong,บางปะกง,TH2404,Bang Phueng,บางผึ้ง,TH240405,0.203839,0.000984
708,Polygon,Thailand,ประเทศไทย,TH,Samut Prakan,สมุทรปราการ,TH11,Phra Pradaeng,พระประแดง,TH1104,Bang Phueng,บางพึ่ง,TH110402,0.100011,0.000368
709,Polygon,Thailand,ประเทศไทย,TH,Lop Buri,ลพบุรี,TH16,Ban Mi,บ้านหมี่,TH1606,Bang Phueng,บางพึ่ง,TH160608,0.214171,0.002066
710,Polygon,Thailand,ประเทศไทย,TH,Pathum Thani,ปทุมธานี,TH13,Mueang Pathum Thani,เมืองปทุมธานี,TH1301,Bang Phun,บางพูน,TH130111,0.1234,0.000746
711,Polygon,Thailand,ประเทศไทย,TH,Nonthaburi,นนทบุรี,TH12,Pak Kret,ปากเกร็ด,TH1206,Bang Phut,บางพูด,TH120604,0.118588,0.000759
712,Polygon,Thailand,ประเทศไทย,TH,Pathum Thani,ปทุมธานี,TH13,Mueang Pathum Thani,เมืองปทุมธานี,TH1301,Bang Phut,บางพูด,TH130110,0.147596,0.000513
